time,id,s0,s2,s3,s4,s5,s7,s9,c0_1,c0_2,c0_3,O1,a3,a3a_1,a3a_2,a4,a8,a9,a10,a16,Ts9,Qs9,Qa3,Qa4,Qa8,Qa9,Qa10,Qa16,index1,index1a,index1b
200704,1,100,1,20,4,3,2,4,2,2,2,2,3,0, ,1,1,1,9,3,1,2500,100,200,200,200,100,100,109.349371241115,88.0359186548112,121.071238316626
200704,2,100,1,24,2,3,2,8,2,2,2,2,9, , ,3,3,2,1,3,2,7000,100,100,100,150,200,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,3,200,1,20,2,9,2,2,2,2,2,2,9, , ,2,2,3,9,3,1,1250,100,150,150,100,100,100,93.7280324923846,88.0359186548112,96.8569906533004
200704,4,100,2,65,3,1,1,2,2,2,2,2,2,10, ,2,9,9,9,1,1,1250,150,150,100,100,100,200,109.349371241115,154.06285764592,84.7498668216379
200704,5,200,2,40,2,3,1,99,2,2,2,2,3,0, ,3,9,9,2,3,9, ,100,100,100,100,150,100,85.9173631180192,88.0359186548112,84.7498668216379
200704,6,100,1,50,3,3,1,6,2,2,2,2,1,90, ,2,2,4,3,4,2,4500,200,150,150,50,100,50,101.53870186675,110.044898318514,96.8569906533004
200704,7,100,2,53,1,10,1,7,2,2,2,1,3,0, ,3,2,3,4,2,2,5500,100,100,150,100,50,150,85.9173631180192,110.044898318514,72.6427429899753
200704,8,300,1,44,2,9,1,99,2,2,2,2,1,30, ,9,3,3,1,3,9, ,200,100,100,100,200,100,109.349371241115,132.053877982217,96.8569906533004
200704,9,200,2,35,3,3,1,5,2,2,2,2,3,0, ,3,2,3,2,2,1,3500,100,100,150,100,150,150,101.53870186675,110.044898318514,96.8569906533004
200704,10,200,1,21,4,7,2,7,2,2,2,2,2,10, ,3,1,3,1,3,2,5500,150,100,200,100,200,100,117.160040615481,110.044898318514,121.071238316626
200704,11,300,1,34,4,1,1,8,2,2,2,2,2,90, ,2,3,2,2,9,2,7000,150,150,100,150,150,100,101.53870186675,110.044898318514,96.8569906533004
200704,12,200,2,28,2,3,1,7,2,2,2,1,4,110, ,3,2,4,1,3,2,5500,50,100,150,50,200,100,93.7280324923846,66.0269389911084,108.964114484963
200704,13,100,2,63,4,10,1,5,2,2,2,2,3,0, ,3,3,3,9,3,1,3500,100,100,100,100,100,100,78.1066937436538,88.0359186548112,72.6427429899753
