time	id	s2	s3	Qa3	Qa4	Qa8	Qa10	Qa16	index1	index1a	index1b	Qa3n	Qa4n	Qa8n	Qa10n	Qa16n	index1n	index1an	index1bn
200704	22	2	59	100	100	100	100	50	70.29602437	66.02693899	72.64274299	50	100	100	100	100	70.29602437	66.02693899	72.64274299
200704	40	2	28	150	150	150	150	100	109.3493712	110.0448983	108.9641145	150	100	100	200	100	101.5387019	110.0448983	96.85699065
200704	45	1	55	100	50	50	100	200	78.10669374	132.053878	48.42849533	150	100	150	150	100	101.5387019	110.0448983	96.85699065
200704	69	1	26	150	200	150	50	100	101.5387019	110.0448983	96.85699065	150	100	150	200	200	124.97071	154.0628576	108.9641145
200704	98	1	63	100	200	150	150	100	109.3493712	88.03591865	121.0712383	150	150	100	0	100	78.10669374	110.0448983	60.53561916
200704	104	1	35	200	200	100	100	50	101.5387019	110.0448983	96.85699065	100	100	150	150	100	93.72803249	88.03591865	96.85699065
200704	138	1	27	100	150	100	100	100	85.91736312	88.03591865	84.74986682	100	100	150	150	100	93.72803249	88.03591865	96.85699065
200704	152	2	32	50	150	150	150	100	93.72803249	66.02693899	108.9641145	100	50	150	150	100	85.91736312	88.03591865	84.74986682
200704	177	1	60	100	100	100	100	200	93.72803249	132.053878	72.64274299	0	0	50	200	150	62.48535499	66.02693899	60.53561916
200704	180	1	40	100	100	100	100	50	70.29602437	66.02693899	72.64274299	50	50	100	100	100	62.48535499	66.02693899	60.53561916
200704	222	1	50	150	100	100	150	100	93.72803249	110.0448983	84.74986682	50	100	150	100	100	78.10669374	66.02693899	84.74986682
200704	255	2	26	100	100	100	100	150	85.91736312	110.0448983	72.64274299	150	100	100	50	150	85.91736312	132.053878	60.53561916
200704	259	1	55	100	150	150	200	100	109.3493712	88.03591865	121.0712383	100	150	150	150	200	117.1600406	132.053878	108.9641145
200704	264	1	60	100	100	100	100	100	78.10669374	88.03591865	72.64274299	100	100	100	100	100	78.10669374	88.03591865	72.64274299
200704	304	2	60	150	100	150	150	100	101.5387019	110.0448983	96.85699065	100	100	150	150	100	93.72803249	88.03591865	96.85699065
200704	309	1	32	100	200	150	200	150	124.97071	110.0448983	133.1783621	100	200	200	200	150	132.7813794	110.0448983	145.285486
200704	320	2	38	100	100	100	100	50	70.29602437	66.02693899	72.64274299	100	100	100	150	50	78.10669374	66.02693899	84.74986682
200704	334	1	44	150	150	150	150	150	117.1600406	132.053878	108.9641145	150	150	100	100	100	93.72803249	110.0448983	84.74986682
200704	337	2	52	50	100	100	100	100	70.29602437	66.02693899	72.64274299	200	150	150	150	200	132.7813794	176.0718373	108.9641145
